name, qty, cost, link
keyswitch, 81, 26€, https://de.aliexpress.com/item/1005005723938995.html
keycap, 81, 41€, https://de.aliexpress.com/item/1005009231476056.html
hotswapsocket, 81, 7.5€, https://de.aliexpress.com/item/1005006105603269.html
magnetic connector 6pin, 2, 8€, https://de.aliexpress.com/item/1005007454862634.html
magnetic connector 8pin, 2, 9€, https://de.aliexpress.com/item/1005002669709542.html
1N4148W sod123, 82, 1.5€, https://de.aliexpress.com/item/1005007160563285.html
ec11, 1, 2€, https://de.aliexpress.com/item/1005005983134515.html
nrf52840, 1, 3.5€, https://de.aliexpress.com/item/1005006403146060.html
SK12D07VG, 1, 1€, https://de.aliexpress.com/item/32882694396.html
battery, 1, 8€, https://ampul.eu/de/batterie/6269-li-pol-akku-600-mah-37-v-302580
m2 screws, 22, 1.5€, https://de.aliexpress.com/item/1005005070119421.html
heat insert m2 OD3.2mm, 22, 2€, https://de.aliexpress.com/item/1005004535859664.html
pcbs, 1 each, 3.5€ - 9€, https://github.com/Aff314/AFF314MODKEEB/tree/main/pcb
cases, 1 each, ?, https://github.com/Aff314/AFF314MODKEEB/tree/main/3d
,,,
total, , ~100€,
